## [iView]
## Converted from:	I:\pp23671_rest1.idf
## Date:	01.01.2019 16:59:56
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	50
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	30443                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	pp23671
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1280	1024
## Calibration Point 0:	Position(448;512)
## Calibration Point 1:	Position(832;512)
## Calibration Point 2:	Position(256;204)
## Calibration Point 3:	Position(1024;204)
## Calibration Point 4:	Position(256;819)
## Calibration Point 5:	Position(1024;819)
## Calibration Point 6:	Position(640;204)
## Calibration Point 7:	Position(640;819)
## [Geometry]
## Stimulus Dimension [mm]:	300	200
## Head Distance [mm]:	500
## [Hardware Setup]
## System ID:	IVIEW
## Operating System :	5.1
## iView X Version:	2.4.33
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RAW, DIAMETER, CR, POR, QUALITY, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	L Dia X [px]	L Dia Y [px]	L CR1 X [px]	L CR1 Y [px]	L POR X [px]	L POR Y [px]	Timing	Pupil Confidence	Trigger	Frame	Aux1
35117409303	SMP	1	137.48	165.93	19.59	20.59	171.00	172.03	0.00	0.00	0	0	0		
35117429270	SMP	1	137.58	165.99	19.48	19.78	170.86	172.02	0.00	0.00	0	0	0		
35117449299	SMP	1	137.48	166.07	19.49	20.68	170.99	172.48	0.00	0.00	0	0	0		
35117469273	SMP	1	137.46	166.20	19.49	20.69	170.64	171.70	0.00	0.00	0	0	0		
35117489300	SMP	1	137.12	166.32	20.55	20.58	170.60	172.39	0.00	0.00	0	0	0		
35117509266	SMP	1	137.47	166.33	19.52	20.52	170.77	172.24	0.00	0.00	0	0	0		
35117529297	SMP	1	137.21	166.25	20.61	21.51	171.01	172.37	0.00	0.00	0	0	0		
35117549266	SMP	1	137.46	166.27	19.47	20.72	170.89	172.19	0.00	0.00	0	0	0		
35117569300	SMP	1	137.31	166.39	20.42	21.56	170.60	171.91	0.00	0.00	0	0	0		
35117589266	SMP	1	137.49	166.41	19.60	20.70	170.70	172.00	0.00	0.00	0	0	0		
35117609299	SMP	1	137.25	166.35	20.48	21.56	170.63	172.19	0.00	0.00	0	0	0		
35117629266	SMP	1	137.25	166.40	20.53	21.60	170.52	171.41	0.00	0.00	0	0	0		
35117649297	SMP	1	137.07	166.42	20.43	21.70	170.55	172.23	0.00	0.00	0	0	0		
35117669264	SMP	1	137.16	166.37	20.60	20.72	170.52	171.87	0.00	0.00	0	0	0		
35117689294	SMP	1	137.21	166.39	20.70	21.63	170.40	171.84	0.00	0.00	0	0	0		
35117709264	SMP	1	137.32	166.46	21.43	21.76	170.70	171.99	0.00	0.00	0	0	0		
35117729294	SMP	1	137.29	166.56	20.50	21.62	170.89	172.09	0.00	0.00	0	0	0		
35117749264	SMP	1	137.13	166.48	20.61	21.64	170.69	171.18	0.00	0.00	0	0	0		
35117769295	SMP	1	137.21	166.33	20.56	21.60	170.64	172.00	0.00	0.00	0	0	0		
35117789261	SMP	1	137.27	166.19	21.32	22.59	170.49	171.69	0.00	0.00	0	0	0		
35117809295	SMP	1	137.10	166.16	20.48	21.65	170.51	171.71	0.00	0.00	0	0	0		
35117829260	SMP	1	137.01	166.21	21.47	22.63	170.30	171.84	0.00	0.00	0	0	0		
35117849294	SMP	1	137.26	166.41	20.63	21.58	170.69	171.90	0.00	0.00	0	0	0		
35117869251	SMP	1	137.43	166.77	21.40	21.62	170.48	171.98	0.00	0.00	0	0	0		
35117889290	SMP	1	137.34	167.05	21.24	21.68	170.94	172.93	0.00	0.00	0	0	0		
35117909258	SMP	1	137.40	167.04	21.48	21.62	170.66	172.19	0.00	0.00	0	0	0		
35117929284	SMP	1	137.31	167.01	21.47	21.61	170.66	172.35	0.00	0.00	0	0	0		
