eye_timestamp,eye1_x_coordinate,eye1_y_coordinate,eye1_pupil_size,eye2_x_coordinate,eye2_y_coordinate,eye2_pupil_size,Trial,L Raw X [px],L Raw Y [px],R Raw X [px],R Raw Y [px],L Dia X [px],L Dia Y [px],L Mapped Diameter [mm],R Dia X [px],R Dia Y [px],R Mapped Diameter [mm],L CR1 X [px],L CR1 Y [px],L CR2 X [px],L CR2 Y [px],R CR1 X [px],R CR1 Y [px],R CR2 X [px],R CR2 Y [px],L POR X [px],L POR Y [px],R POR X [px],R POR Y [px],Timing,L Validity,R Validity,Pupil Confidence,L Plane,R Plane,L EPOS X,L EPOS Y,L EPOS Z,R EPOS X,R EPOS Y,R EPOS Z,L GVEC X,L GVEC Y,L GVEC Z,R GVEC X,R GVEC Y,R GVEC Z,Trigger,Frame,Aux1
1,1,2,493.02,60.46,45.31,6.33,1,1382.69,490.6,1146.98,493.02,27.03,27.03,5.8,28.06,28.06,6.33,1381.55,492.54,1388.1,492.61,1149.37,495.28,1155.41,495.26,812.98,561.38,791.19,508.62,0,1,1,2,-1,-1,-9.36,60.46,714.2,45.31,62.66,747.79,0.11,0.01,-0.99,0.2,0.03,-0.98,0,0,0
2,1,2,493.05,60.53,45.39,6.33,1,1382.7,490.28,1146.96,493.05,26.99,26.99,5.8,28.19,28.19,6.33,1381.49,492.44,1388.01,492.44,1149.33,495.14,1155.2,495.04,811.68,555.3,790.49,518.65,0,1,1,2,-1,-1,-9.35,60.53,714.67,45.39,62.77,748.63,0.11,0.02,-0.99,0.2,0.02,-0.98,0,0,0
3,1,2,492.53,60.55,45.35,6.35,1,1382.72,490.19,1147.27,492.53,27.13,27.13,5.8,28.46,28.46,6.35,1381.49,492.39,1388.06,492.22,1149.4,494.6,1155.35,494.66,811.7,555.42,787.31,515,0,1,1,2,-1,-1,-9.35,60.55,714.56,45.35,62.86,748.38,0.11,0.01,-0.99,0.19,0.02,-0.98,0,0,0
4,1,2,491.84,60.74,44.53,6.33,1,1385.19,489.84,1149.71,491.84,26.98,26.98,5.81,27.98,27.98,6.33,1382.67,491.78,1389.16,491.78,1150.6,494.39,1157.07,494.33,668.64,557.39,668.44,499.92,0,1,1,2,-1,-1,-9.62,60.74,715.36,44.53,62.26,740.43,0.05,0.01,-1,0.14,0.04,-0.99,0,0,0
5,1,2,491.61,60.91,44.36,6.31,1,1386.16,489.6,1150.91,491.61,27.19,27.19,5.82,28.01,28.01,6.31,1383.41,491.67,1389.75,491.77,1151.46,494.28,1157.78,494.29,645.07,550.27,637.22,488.01,0,1,1,2,-1,-1,-9.8,60.91,717.2,44.36,62.3,740.75,0.03,0.01,-1,0.12,0.04,-0.99,0,0,0
6,1,2,491.83,60.86,44.16,6.31,1,1386.47,489.87,1151.02,491.83,27.15,27.15,5.82,28.3,28.3,6.31,1383.46,492.25,1389.84,492.12,1151.48,494.41,1157.84,494.38,619.95,538.53,626.09,492.69,0,1,1,2,-1,-1,-9.82,60.86,717.88,44.16,62,737.49,0.02,0.02,-1,0.12,0.04,-0.99,0,0,0
7,1,2,491.97,60.56,43.88,6.3,1,1386.66,489.99,1151.13,491.97,27.24,27.24,5.83,28.35,28.35,6.3,1383.54,492.4,1390.26,492.36,1151.62,494.48,1158.03,494.51,619.17,526.23,624.7,494.86,0,1,1,2,-1,-1,-9.84,60.56,714.84,43.88,61.64,733.47,0.02,0.03,-1,0.12,0.04,-0.99,0,0,0
8,1,2,491.99,60.62,44.07,6.3,1,1386.54,489.9,1151.4,491.99,27.43,27.43,5.84,28.28,28.28,6.3,1383.83,492.38,1390.42,492.4,1151.98,494.61,1158.18,494.53,643.47,514.06,624.6,490.11,0,1,1,2,-1,-1,-9.9,60.62,715.61,44.07,61.98,737.69,0.04,0.03,-1,0.12,0.04,-0.99,0,0,0
9,1,2,491.76,61.14,44.2,6.3,1,1386.93,489.86,1151.56,491.76,27.16,27.16,5.85,28.14,28.14,6.3,1384.29,492.44,1390.45,492.41,1152.25,494.45,1158.31,494.45,634.59,501.46,627.14,481.1,0,1,1,2,-1,-1,-10.04,61.14,721.92,44.2,62.25,740.56,0.03,0.04,-1,0.12,0.05,-0.99,0,0,0
10,1,2,491.81,61.52,44.24,6.3,1,1386.95,489.96,1151.62,491.81,27.59,27.59,5.89,28.32,28.32,6.3,1384.4,492.44,1390.5,492.44,1152.36,494.43,1158.36,494.44,640.06,501.43,628.05,481.59,0,1,1,2,-1,-1,-10.12,61.52,726.37,44.24,62.34,741.63,0.04,0.03,-1,0.12,0.04,-0.99,0,0,0
