onset	duration	sample	value	description
0.0000000000	65192.0000000000	0	break cnt	n/a
37.2080000000	1.0000000000	9302	93  	n/a
38.7520000000	1.0000000000	9688	4   	n/a
39.2680000000	1.0000000000	9817	8   	n/a
42.1760000000	1.0000000000	10544	4   	n/a
42.6880000000	1.0000000000	10672	8   	n/a
45.5960000000	1.0000000000	11399	4   	n/a
46.1080000000	1.0000000000	11527	8   	n/a
49.0160000000	1.0000000000	12254	4   	n/a
49.5280000000	1.0000000000	12382	8   	n/a
52.4360000000	1.0000000000	13109	4   	n/a
52.9480000000	1.0000000000	13237	8   	n/a
55.8560000000	1.0000000000	13964	4   	n/a
56.3680000000	1.0000000000	14092	8   	n/a
59.2760000000	1.0000000000	14819	4   	n/a
59.7880000000	1.0000000000	14947	8   	n/a
62.6960000000	1.0000000000	15674	4   	n/a
63.2080000000	1.0000000000	15802	8   	n/a
66.1160000000	1.0000000000	16529	4   	n/a
66.6280000000	1.0000000000	16657	8   	n/a
69.5360000000	1.0000000000	17384	4   	n/a
70.0480000000	1.0000000000	17512	8   	n/a
72.9560000000	1.0000000000	18239	4   	n/a
73.4680000000	1.0000000000	18367	8   	n/a
76.3760000000	1.0000000000	19094	4   	n/a
76.8880000000	1.0000000000	19222	8   	n/a
79.7960000000	1.0000000000	19949	4   	n/a
80.3080000000	1.0000000000	20077	8   	n/a
83.2160000000	1.0000000000	20804	4   	n/a
83.7280000000	1.0000000000	20932	8   	n/a
86.6360000000	1.0000000000	21659	4   	n/a
87.1480000000	1.0000000000	21787	8   	n/a
90.0560000000	1.0000000000	22514	4   	n/a
90.5680000000	1.0000000000	22642	8   	n/a
93.4760000000	1.0000000000	23369	4   	n/a
93.9880000000	1.0000000000	23497	8   	n/a
96.8960000000	1.0000000000	24224	4   	n/a
97.4080000000	1.0000000000	24352	8   	n/a
100.3160000000	1.0000000000	25079	4   	n/a
100.8240000000	1.0000000000	25206	8   	n/a
103.7360000000	1.0000000000	25934	4   	n/a
104.2440000000	1.0000000000	26061	8   	n/a
107.1560000000	1.0000000000	26789	4   	n/a
107.6680000000	1.0000000000	26917	8   	n/a
110.5760000000	1.0000000000	27644	4   	n/a
111.0840000000	1.0000000000	27771	8   	n/a
113.9960000000	1.0000000000	28499	4   	n/a
114.5040000000	1.0000000000	28626	8   	n/a
117.4160000000	1.0000000000	29354	4   	n/a
117.9280000000	1.0000000000	29482	8   	n/a
120.8360000000	1.0000000000	30209	4   	n/a
121.3440000000	1.0000000000	30336	8   	n/a
124.2560000000	1.0000000000	31064	4   	n/a
124.7640000000	1.0000000000	31191	8   	n/a
127.6760000000	1.0000000000	31919	4   	n/a
128.1840000000	1.0000000000	32046	8   	n/a
131.0960000000	1.0000000000	32774	4   	n/a
131.6080000000	1.0000000000	32902	8   	n/a
134.5160000000	1.0000000000	33629	4   	n/a
135.0240000000	1.0000000000	33756	8   	n/a
137.9360000000	1.0000000000	34484	4   	n/a
138.4440000000	1.0000000000	34611	8   	n/a
141.3560000000	1.0000000000	35339	4   	n/a
141.8640000000	1.0000000000	35466	8   	n/a
144.7760000000	1.0000000000	36194	4   	n/a
145.2840000000	1.0000000000	36321	8   	n/a
148.1960000000	1.0000000000	37049	4   	n/a
148.7040000000	1.0000000000	37176	8   	n/a
151.6160000000	1.0000000000	37904	4   	n/a
152.1240000000	1.0000000000	38031	8   	n/a
155.0360000000	1.0000000000	38759	4   	n/a
155.5440000000	1.0000000000	38886	8   	n/a
158.4560000000	1.0000000000	39614	4   	n/a
158.9640000000	1.0000000000	39741	8   	n/a
161.8760000000	1.0000000000	40469	4   	n/a
162.3840000000	1.0000000000	40596	8   	n/a
165.2960000000	1.0000000000	41324	4   	n/a
165.8040000000	1.0000000000	41451	8   	n/a
168.7160000000	1.0000000000	42179	4   	n/a
169.2240000000	1.0000000000	42306	8   	n/a
172.1360000000	1.0000000000	43034	4   	n/a
172.6440000000	1.0000000000	43161	8   	n/a
175.5560000000	1.0000000000	43889	4   	n/a
176.0640000000	1.0000000000	44016	8   	n/a
178.9760000000	1.0000000000	44744	4   	n/a
179.4840000000	1.0000000000	44871	8   	n/a
182.3960000000	1.0000000000	45599	4   	n/a
182.9040000000	1.0000000000	45726	8   	n/a
185.8160000000	1.0000000000	46454	4   	n/a
186.3240000000	1.0000000000	46581	8   	n/a
189.2360000000	1.0000000000	47309	4   	n/a
189.7440000000	1.0000000000	47436	8   	n/a
192.6560000000	1.0000000000	48164	4   	n/a
193.1640000000	1.0000000000	48291	8   	n/a
196.0760000000	1.0000000000	49019	4   	n/a
196.5840000000	1.0000000000	49146	8   	n/a
199.4960000000	1.0000000000	49874	4   	n/a
200.0040000000	1.0000000000	50001	8   	n/a
202.9160000000	1.0000000000	50729	4   	n/a
203.4240000000	1.0000000000	50856	8   	n/a
206.3360000000	1.0000000000	51584	4   	n/a
206.8440000000	1.0000000000	51711	8   	n/a
209.7560000000	1.0000000000	52439	4   	n/a
210.2640000000	1.0000000000	52566	8   	n/a
213.1760000000	1.0000000000	53294	4   	n/a
213.6840000000	1.0000000000	53421	8   	n/a
216.5920000000	1.0000000000	54148	4   	n/a
217.1040000000	1.0000000000	54276	8   	n/a
220.0120000000	1.0000000000	55003	4   	n/a
220.5240000000	1.0000000000	55131	8   	n/a
223.4320000000	1.0000000000	55858	4   	n/a
223.9440000000	1.0000000000	55986	8   	n/a
226.8520000000	1.0000000000	56713	4   	n/a
227.3640000000	1.0000000000	56841	8   	n/a
230.2720000000	1.0000000000	57568	4   	n/a
230.7840000000	1.0000000000	57696	8   	n/a
233.6920000000	1.0000000000	58423	4   	n/a
234.2040000000	1.0000000000	58551	8   	n/a
237.1120000000	1.0000000000	59278	4   	n/a
237.6240000000	1.0000000000	59406	8   	n/a
240.5320000000	1.0000000000	60133	4   	n/a
241.0440000000	1.0000000000	60261	8   	n/a
243.9520000000	1.0000000000	60988	4   	n/a
244.4640000000	1.0000000000	61116	8   	n/a
247.3720000000	1.0000000000	61843	4   	n/a
247.8840000000	1.0000000000	61971	8   	n/a
250.7920000000	1.0000000000	62698	4   	n/a
251.3040000000	1.0000000000	62826	8   	n/a
254.2120000000	1.0000000000	63553	4   	n/a
254.7240000000	1.0000000000	63681	8   	n/a
260.7680000000	60259.0000000000	65192	break cnt	n/a
