## [iView]
Converted from: NA
Date: NA
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	60
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	7343                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
Subject: NA
## Description:	description info                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	800	600
## Calibration Point 0:	Position(400;300)
## Calibration Point 1:	Position(200;30)
## Calibration Point 2:	Position(760;150)
## Calibration Point 3:	Position(600;570)
## Calibration Point 4:	Position(40;450)
## [Geometry]
## Stimulus Dimension [mm]:	321	240
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1023401-1517//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
2882291263	SMP	1	1382.69	490.60	1146.98	493.02	27.03	27.03	5.80	28.06	28.06	6.33	1381.55	492.54	1388.10	492.61	1149.37	495.28	1155.41	495.26	812.98	561.38	791.19	508.62	0	1	1	2	-1	-1	-9.36	60.46	714.20	45.31	62.66	747.79	0.11	0.01	-0.99	0.20	0.03	-0.98	0		
2882307970	SMP	1	1382.70	490.28	1146.96	493.05	26.99	26.99	5.80	28.19	28.19	6.33	1381.49	492.44	1388.01	492.44	1149.33	495.14	1155.20	495.04	811.68	555.30	790.49	518.65	0	1	1	2	-1	-1	-9.35	60.53	714.67	45.39	62.77	748.63	0.11	0.02	-0.99	0.20	0.02	-0.98	0		
2882324588	SMP	1	1382.72	490.19	1147.27	492.53	27.13	27.13	5.80	28.46	28.46	6.35	1381.49	492.39	1388.06	492.22	1149.40	494.60	1155.35	494.66	811.70	555.42	787.31	515.00	0	1	1	2	-1	-1	-9.35	60.55	714.56	45.35	62.86	748.38	0.11	0.01	-0.99	0.19	0.02	-0.98	0		
2882341244	SMP	1	1385.19	489.84	1149.71	491.84	26.98	26.98	5.81	27.98	27.98	6.33	1382.67	491.78	1389.16	491.78	1150.60	494.39	1157.07	494.33	668.64	557.39	668.44	499.92	0	1	1	2	-1	-1	-9.62	60.74	715.36	44.53	62.26	740.43	0.05	0.01	-1.00	0.14	0.04	-0.99	0		
2882357908	SMP	1	1386.16	489.60	1150.91	491.61	27.19	27.19	5.82	28.01	28.01	6.31	1383.41	491.67	1389.75	491.77	1151.46	494.28	1157.78	494.29	645.07	550.27	637.22	488.01	0	1	1	2	-1	-1	-9.80	60.91	717.20	44.36	62.30	740.75	0.03	0.01	-1.00	0.12	0.04	-0.99	0		
2882374552	SMP	1	1386.47	489.87	1151.02	491.83	27.15	27.15	5.82	28.30	28.30	6.31	1383.46	492.25	1389.84	492.12	1151.48	494.41	1157.84	494.38	619.95	538.53	626.09	492.69	0	1	1	2	-1	-1	-9.82	60.86	717.88	44.16	62.00	737.49	0.02	0.02	-1.00	0.12	0.04	-0.99	0		
2882391240	SMP	1	1386.66	489.99	1151.13	491.97	27.24	27.24	5.83	28.35	28.35	6.30	1383.54	492.40	1390.26	492.36	1151.62	494.48	1158.03	494.51	619.17	526.23	624.70	494.86	0	1	1	2	-1	-1	-9.84	60.56	714.84	43.88	61.64	733.47	0.02	0.03	-1.00	0.12	0.04	-0.99	0		
2882407903	SMP	1	1386.54	489.90	1151.40	491.99	27.43	27.43	5.84	28.28	28.28	6.30	1383.83	492.38	1390.42	492.40	1151.98	494.61	1158.18	494.53	643.47	514.06	624.60	490.11	0	1	1	2	-1	-1	-9.90	60.62	715.61	44.07	61.98	737.69	0.04	0.03	-1.00	0.12	0.04	-0.99	0		
2882424564	SMP	1	1386.93	489.86	1151.56	491.76	27.16	27.16	5.85	28.14	28.14	6.30	1384.29	492.44	1390.45	492.41	1152.25	494.45	1158.31	494.45	634.59	501.46	627.14	481.10	0	1	1	2	-1	-1	-10.04	61.14	721.92	44.20	62.25	740.56	0.03	0.04	-1.00	0.12	0.05	-0.99	0		
2882441227	SMP	1	1386.95	489.96	1151.62	491.81	27.59	27.59	5.89	28.32	28.32	6.30	1384.40	492.44	1390.50	492.44	1152.36	494.43	1158.36	494.44	640.06	501.43	628.05	481.59	0	1	1	2	-1	-1	-10.12	61.52	726.37	44.24	62.34	741.63	0.04	0.03	-1.00	0.12	0.04	-0.99	0		
